guidance,n_unique,validity,polymer_valid,uniqueness,novelty,MolWt_median,MolWt_mae,MolWt_std,MolLogP_median,MolLogP_mae,MolLogP_std,TPSA_median,TPSA_mae,TPSA_std
0.0,426,0.9922,0.832,1.0,1.0,351.436,15.351,23.412,2.758,0.671,0.813,60.71,7.792,10.218
0.5,418,0.9941,0.8164,1.0,0.9976,352.434,13.99,21.464,2.581,0.645,0.824,60.24,7.89,10.133
1.0,398,0.9883,0.7773,1.0,0.9975,352.561,13.654,21.24,2.413,0.659,0.836,60.89,7.829,10.009
2.0,360,0.9902,0.7031,1.0,1.0,351.434,14.588,23.951,2.232,0.689,0.835,61.44,7.704,10.29
3.0,315,0.9863,0.6152,1.0,1.0,349.476,20.18,32.936,2.141,0.717,0.829,61.44,8.74,11.408
5.0,218,0.9941,0.4258,1.0,1.0,345.025,28.909,45.6,1.95,0.932,0.996,60.67,10.113,13.554
